category,pre_n_docs,post_n_docs,pre_total_docs,post_total_docs,pre_share,post_share,absolute_gap,absolute_gap_abs,relative_ratio,log2_ratio_smoothed,is_new_after_covid,is_disappeared_after_covid,large_upward_shift,large_downward_shift,p_value_fisher,q_value,signal_label
Governance,4.0,3.0,5,9,0.8,0.3333333333333333,-0.46666666666666673,0.46666666666666673,0.4173949230129005,-1.2605150425176859,False,False,False,True,0.26573426573426573,0.6633366633366633,large_downward_shift
Monitoring,1.0,5.0,5,9,0.2,0.5555555555555556,0.35555555555555557,0.35555555555555557,2.7689331122166942,1.4693302036366607,False,False,True,False,0.3006993006993006,0.6633366633366633,large_upward_shift
Risk,0.0,3.0,5,9,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,334.3333333333333,8.385143389891024,True,False,True,False,0.25824175824175827,0.6633366633366633,new_post_covid
RBQM,4.0,5.0,5,9,0.8,0.5555555555555556,-0.24444444444444446,0.24444444444444446,0.6948259120543765,-0.5252765375931208,False,False,False,False,0.5804195804195803,0.6633366633366633,stable_or_small_change
AI,1.0,4.0,5,9,0.2,0.4444444444444444,0.2444444444444444,0.2444444444444444,2.216141514648977,1.1480500095295296,False,False,False,False,0.5804195804195804,0.6633366633366633,stable_or_small_change
Statistics,0.0,2.0,5,9,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,223.2222222222222,7.802336847290979,True,False,False,False,0.5054945054945055,0.6633366633366633,new_post_covid
Data,4.0,9.0,5,9,0.8,1.0,0.19999999999999996,0.19999999999999996,1.249687890137328,0.3215678264272831,False,False,False,False,0.35714285714285715,0.6633366633366633,stable_or_small_change
Clinical_Operations,5.0,9.0,5,9,1.0,1.0,0.0,0.0,1.0,0.0,False,False,False,False,1.0,1.0,stable_or_small_change
