year,covid_period,n_docs
2011,Pre-COVID,1
2016,Pre-COVID,2
2017,Pre-COVID,1
2019,Pre-COVID,1
2020,Post-COVID,1
2021,Post-COVID,1
2022,Post-COVID,3
2023,Post-COVID,1
2024,Post-COVID,1
2025,Post-COVID,2
