source,target,pre_n_docs,post_n_docs,pre_total_docs,post_total_docs,pre_share,post_share,absolute_gap,absolute_gap_abs,relative_ratio,log2_ratio_smoothed,is_new_after_covid,is_disappeared_after_covid,large_upward_shift,large_downward_shift,p_value_fisher,q_value,signal_label,weight,first_year,last_year,source_category,target_category
adverse_event_reporting,roles_responsibilities,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
adverse_event_underreporting,clinical_quality_assurance,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
adverse_event_underreporting,clinical_study,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
adverse_event_underreporting,clinical_trial,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
adverse_event_underreporting,data_integrity,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
adverse_event_underreporting,machine_learning,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
adverse_event_underreporting,oversight,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
adverse_event_underreporting,predictive_modeling,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
adverse_event_underreporting,regulatory_guideline,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
centralized_monitoring,clinical_trial,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
centralized_monitoring,data_integrity,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
centralized_monitoring,governance,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
clinical_quality_assurance,clinical_study,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
clinical_quality_assurance,machine_learning,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
clinical_quality_assurance,oversight,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
clinical_quality_assurance,predictive_modeling,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
clinical_quality_assurance,regulatory_guideline,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
clinical_research,clinical_study,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
clinical_research,quality_assurance,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
clinical_research,regulatory_guideline,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
clinical_study,machine_learning,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
clinical_study,predictive_modeling,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
clinical_study,quality_assurance,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
clinical_trial,corrective_preventive_action,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
clinical_trial,predictive_modeling,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
clinical_trial,roles_responsibilities,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
corrective_preventive_action,data_integrity,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
corrective_preventive_action,data_quality,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
corrective_preventive_action,oversight,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
corrective_preventive_action,quality_assurance,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
corrective_preventive_action,roles_responsibilities,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
data_integrity,data_quality,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
data_integrity,governance,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
data_integrity,predictive_modeling,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
data_integrity,roles_responsibilities,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
data_quality,oversight,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
data_quality,quality_assurance,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
data_quality,roles_responsibilities,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
machine_learning,oversight,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
machine_learning,predictive_modeling,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
machine_learning,regulatory_guideline,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
