source,target,pre_n_docs,post_n_docs,pre_total_docs,post_total_docs,pre_share,post_share,absolute_gap,absolute_gap_abs,relative_ratio,log2_ratio_smoothed,is_new_after_covid,is_disappeared_after_covid,large_upward_shift,large_downward_shift,p_value_fisher,q_value,signal_label,weight,first_year,last_year,source_category,target_category
data_integrity,statistical_modeling,0.0,2.0,5,9,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,223.2222222222222,7.802336847290979,True,False,True,False,0.5054945054945055,0.9993684476443098,new_post_covid,2.0,2020.0,2022.0,Data,Statistics
interpretability,quality_assurance,0.0,2.0,5,9,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,223.2222222222222,7.802336847290979,True,False,True,False,0.5054945054945055,0.9993684476443098,new_post_covid,2.0,2020.0,2022.0,AI,RBQM
interpretability,quality_risk_assessment,0.0,2.0,5,9,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,223.2222222222222,7.802336847290979,True,False,True,False,0.5054945054945055,0.9993684476443098,new_post_covid,2.0,2020.0,2022.0,AI,Risk
interpretability,statistical_modeling,0.0,2.0,5,9,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,223.2222222222222,7.802336847290979,True,False,True,False,0.5054945054945055,0.9993684476443098,new_post_covid,2.0,2020.0,2022.0,AI,Statistics
quality_assurance,quality_risk_assessment,0.0,2.0,5,9,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,223.2222222222222,7.802336847290979,True,False,True,False,0.5054945054945055,0.9993684476443098,new_post_covid,2.0,2020.0,2022.0,RBQM,Risk
quality_assurance,statistical_modeling,0.0,2.0,5,9,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,223.2222222222222,7.802336847290979,True,False,True,False,0.5054945054945055,0.9993684476443098,new_post_covid,2.0,2020.0,2022.0,RBQM,Statistics
quality_risk_assessment,statistical_modeling,0.0,2.0,5,9,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,223.2222222222222,7.802336847290979,True,False,True,False,0.5054945054945055,0.9993684476443098,new_post_covid,2.0,2020.0,2022.0,Risk,Statistics
accountability,centralized_monitoring,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
accountability,clinical_trial,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
accountability,data_integrity,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
