time_block,topic,n_docs,block_docs,doc_share
2015-2019,0,1,4,0.25
2015-2019,1,2,4,0.5
2015-2019,2,1,4,0.25
2020-2023,0,1,6,0.16666666666666666
2020-2023,1,2,6,0.3333333333333333
2020-2023,2,1,6,0.16666666666666666
2020-2023,3,2,6,0.3333333333333333
2024-current,0,1,3,0.3333333333333333
2024-current,2,2,3,0.6666666666666666
Before 2015,0,1,1,1.0
